Input voltage [V]    Input voltage [V]     Output Voltage [V]    Maximum error [V]   Maximum error [V]   Maximum error [V]
  Wavetek 9100        Agilent 34410A         Agilent 3458A         Wavetek 9100       Agilent 34410A      Agilent 3458A 
  9.30000000          9.30107115             5.769861e-02          5.640000e-03       8.580643e-03        6.038903e-06
  9.32500000          9.32593271             5.785067e-02          5.650000e-03       8.595560e-03        6.049547e-06
  9.35000000          9.35096452             5.800583e-02          5.660000e-03       8.610579e-03        6.060408e-06
  9.37500000          9.37608703             5.816178e-02          5.670000e-03       8.625652e-03        6.071324e-06
  9.40000000          9.40109100             5.831416e-02          5.680000e-03       8.640655e-03        6.081991e-06
  9.42500000          9.42602424             5.847126e-02          5.690000e-03       8.655615e-03        6.092988e-06
  9.45000000          9.45106922             5.863249e-02          5.700000e-03       8.670642e-03        6.104275e-06
  9.47500000          9.47607841             5.878384e-02          5.710000e-03       8.685647e-03        6.114869e-06
  9.50000000          9.50108869             5.894041e-02          5.720000e-03       8.700653e-03        6.125829e-06
  9.52500000          9.52618521             5.909486e-02          5.730000e-03       8.715711e-03        6.136640e-06
  9.55000000          9.55104691             5.924923e-02          5.740000e-03       8.730628e-03        6.147446e-06
  9.57500000          9.57615195             5.940727e-02          5.750000e-03       8.745691e-03        6.158509e-06
  9.60000000          9.60122268             5.956107e-02          5.760000e-03       8.760734e-03        6.169275e-06
  9.62500000          9.62618704             5.971680e-02          5.770000e-03       8.775712e-03        6.180176e-06
  9.65000000          9.65122189             5.987400e-02          5.780000e-03       8.790733e-03        6.191180e-06
  9.67500000          9.67611636             6.002819e-02          5.790000e-03       8.805670e-03        6.201973e-06
  9.70000000          9.70104313             6.017413e-02          5.800000e-03       8.820626e-03        6.212189e-06
  9.72500000          9.72601683             6.033348e-02          5.810000e-03       8.835610e-03        6.223344e-06
  9.75000000          9.75102186             6.049122e-02          5.820000e-03       8.850613e-03        6.234385e-06
  9.77500000          9.77619476             6.064501e-02          5.830000e-03       8.865717e-03        6.245151e-06
